Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,137.6,-120.4,-90.0,top
C2,10u,C_0402_1005Metric,141.125,-128.27,180.0,top
C3,27p,C_0402_1005Metric,152.675396,-102.6,-90.0,top
C4,27p,C_0402_1005Metric,157.25,-103.675,-90.0,top
C5,100n,C_0402_1005Metric,154.03,-118.92,90.0,top
C6,100n,C_0402_1005Metric,150.675396,-104.519604,90.0,top
C7,100n,C_0402_1005Metric,153.715396,-116.659604,-90.0,top
C8,1u,C_0402_1005Metric,149.505396,-116.659604,-90.0,top
C9,100n,C_0402_1005Metric,146.825396,-113.039604,180.0,top
C10,1u,C_0402_1005Metric,148.525396,-116.629604,-90.0,top
C11,100n,C_0402_1005Metric,146.815396,-109.689604,180.0,top
C12,100n,C_0402_1005Metric,157.685396,-109.419604,0.0,top
C13,100n,C_0402_1005Metric,152.605396,-116.649604,-90.0,top
C14,100n,C_0402_1005Metric,151.665396,-104.519604,90.0,top
D1,SCHOTTKY DIODE,D_0603_1608Metric,136.129891,-105.172551,90.0,top
D2,LED,LED_0603_1608Metric,144.987179,-111.997104,90.0,top
FLASH1,W25Q16,RPI_SPI_Flash_Universal_W25Q16,159.285,-117.66,180.0,top
J5,Conn_01x05,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,140.649891,-108.402551,270.0,bottom
R3,1K,R_0402_1005Metric,165.3,-119.14,0.0,top
R4,10K,R_0402_1005Metric,165.33,-120.29,180.0,top
R5,1K,R_0402_1005Metric,152.675396,-104.519604,90.0,top
R6,27,R_0402_1005Metric,151.495396,-116.659099,90.0,top
R7,27,R_0402_1005Metric,150.495396,-116.659099,90.0,top
R8,1K,R_0402_1005Metric,146.825396,-111.029604,0.0,top
SW5,SW_Push,SW_SPST_SKQG_WithStem,148.52,-138.81,0.0,top
SW12,Button_Pad,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,193.53,-110.58,33.0,bottom
SW13,SW_Push,SW_SPST_SKQG_WithStem,179.84,-111.27,0.0,top
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,160.185396,-109.259604,180.0,top
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,160.784891,-112.602551,180.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,141.7,-123.1,-90.0,top
U4,RP2040,RP2040-QFN-56,152.290396,-110.424099,180.0,top
U5,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,146.540396,-107.339604,180.0,top
U6,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,141.225,-113.875,-90.0,top
U7,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,160.185396,-106.059604,180.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,154.95,-103.675,-90.0,top
