Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,172.58,-118.2,0.0,bottom
C2,10u,C_0402_1005Metric,171.59,-109.89,180.0,bottom
C3,27p,C_0402_1005Metric,144.91,-127.215,90.0,bottom
C4,27p,C_0402_1005Metric,149.39,-125.02,90.0,bottom
C5,100n,C_0402_1005Metric,150.686681,-109.491286,180.0,bottom
C6,100n,C_0402_1005Metric,142.93,-124.54,270.0,bottom
C7,100n,C_0402_1005Metric,145.95,-112.395,90.0,bottom
C8,1u,C_0402_1005Metric,141.74,-112.395,90.0,bottom
C9,100n,C_0402_1005Metric,139.06,-116.015,0.0,bottom
C10,1u,C_0402_1005Metric,140.76,-112.425,90.0,bottom
C11,100n,C_0402_1005Metric,139.05,-119.365,0.0,bottom
C12,100n,C_0402_1005Metric,149.2025,-120.750505,270.0,bottom
C13,100n,C_0402_1005Metric,144.84,-112.405,90.0,bottom
C14,100n,C_0402_1005Metric,143.91,-124.53,270.0,bottom
C15,10u,C_0402_1005Metric,153.57,-123.49,180.0,bottom
D1,SCHOTTKY DIODE,D_0603_1608Metric,175.23,-118.5,180.0,bottom
D2,LED,LED_0603_1608Metric,136.705,-117.0575,270.0,bottom
FLASH1,W25Q16,RPI_SPI_Flash_Universal_W25Q16,153.800821,-112.999125,0.0,bottom
J5,Conn_01x05,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,184.84,-111.02,90.0,bottom
R3,1K,R_0402_1005Metric,159.63,-112.4,270.0,bottom
R4,10K,R_0402_1005Metric,159.63,-110.469326,270.0,bottom
R5,1K,R_0402_1005Metric,144.91,-124.535,270.0,bottom
R6,27,R_0402_1005Metric,143.73,-112.395505,270.0,bottom
R7,27,R_0402_1005Metric,142.73,-112.395505,270.0,bottom
R8,1K,R_0402_1005Metric,139.06,-118.025,180.0,bottom
R9,10K,R_0402_1005Metric,152.19,-128.801332,90.0,bottom
R10,10K,R_0402_1005Metric,153.25,-128.801332,90.0,bottom
SW6,SW_Push,SW_SPST_SKQG_WithStem,158.5,-132.0,0.0,bottom
SW8,SW_Push,SW_SPST_SKQG_WithStem,157.9,-120.6,270.0,bottom
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,152.56,-121.035,180.0,bottom
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,132.805,-137.135664,0.0,bottom
U3,AMS1117-3.3,SOT-223-3_TabPin2,169.94,-114.01,0.0,bottom
U4,RP2040,RP2040-QFN-56,144.525,-118.630505,0.0,bottom
U5,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,142.81,-127.035,270.0,bottom
U6,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,143.23,-109.81,270.0,bottom
U8,74AHC1G32,SOT-353_SC-70-5,152.45,-125.65,90.0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,147.16,-125.71,90.0,bottom
