Comment,Designator,Footprint,LCSC
Conn_01x05,J5,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,C10402
1K,"R3,R5,R8",R_0402_1005Metric,C11702
74AHC1G32,U8,SOT-353_SC-70-5,C12489
SCHOTTKY DIODE,D1,D_0603_1608Metric,C143772
100n,"C11,C12,C13,C14,C5,C6,C7,C9",C_0402_1005Metric,C1525
10u,"C1,C15,C2",C_0402_1005Metric,C15525
27p,"C3,C4",C_0402_1005Metric,C1557
RP2040,U4,RP2040-QFN-56,C2040
27,"R6,R7",R_0402_1005Metric,C25100
10K,"R10,R4,R9",R_0402_1005Metric,C25744
TVS_RCLAMP0524P-N,"U1,U2,U5,U6",UDFN-10_1.35x2.6mm_P0.5mm,C316044
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,C492410
LED,D2,LED_0603_1608Metric,C5137313
1u,"C10,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
W25Q16,FLASH1,SOIC127P790X216-8N,C82317
Crystal_GND24_Small,Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,C9002
MountingHole,H5,MountingHole_1.8mm,
