Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,111.62,-90.0,90.0,bottom
C2,10u,C_0402_1005Metric,120.74,-89.99,270.0,bottom
C3,27p,C_0402_1005Metric,116.07,-116.1,90.0,bottom
C4,27p,C_0402_1005Metric,120.69,-115.71,90.0,bottom
C5,100n,C_0402_1005Metric,129.43,-102.921681,270.0,bottom
C6,100n,C_0402_1005Metric,114.07,-113.42,270.0,bottom
C7,100n,C_0402_1005Metric,117.11,-101.28,90.0,bottom
C8,1u,C_0402_1005Metric,112.9,-101.28,90.0,bottom
C9,100n,C_0402_1005Metric,110.22,-104.9,0.0,bottom
C10,1u,C_0402_1005Metric,111.92,-101.31,90.0,bottom
C11,100n,C_0402_1005Metric,110.21,-108.25,0.0,bottom
C12,100n,C_0402_1005Metric,121.6,-108.52,180.0,bottom
C13,100n,C_0402_1005Metric,116.0,-101.29,90.0,bottom
C14,100n,C_0402_1005Metric,115.06,-113.42,270.0,bottom
C15,10u,C_0402_1005Metric,124.56,-114.12,180.0,bottom
D1,SCHOTTKY DIODE,D_0603_1608Metric,111.9,-95.4125,270.0,bottom
D2,LED,LED_0603_1608Metric,107.89,-105.9425,270.0,bottom
FLASH1,W25Q16,SOIC127P790X216-8N,125.749577,-104.6275,90.0,bottom
J5,Conn_01x05,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,152.7,-102.7,180.0,bottom
R3,1K,R_0402_1005Metric,127.66,-111.959999,270.0,bottom
R4,10K,R_0402_1005Metric,129.489577,-106.22,270.0,bottom
R5,1K,R_0402_1005Metric,116.07,-113.42,270.0,bottom
R6,27,R_0402_1005Metric,114.89,-101.280505,270.0,bottom
R7,27,R_0402_1005Metric,113.89,-101.280505,270.0,bottom
R8,1K,R_0402_1005Metric,110.22,-106.91,180.0,bottom
R9,10K,R_0402_1005Metric,123.18,-119.66,90.0,bottom
R10,10K,R_0402_1005Metric,124.24,-119.66,90.0,bottom
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,145.9,-114.5,180.0,bottom
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,105.51,-115.22,0.0,bottom
U3,AMS1117-3.3,SOT-223-3_TabPin2,116.34,-89.2,90.0,bottom
U4,RP2040,RP2040-QFN-56,115.685,-107.515505,0.0,bottom
U5,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,109.935,-110.6,0.0,bottom
U6,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,114.39,-98.375505,270.0,bottom
U8,74AHC1G32,SOT-353_SC-70-5,123.44,-116.508668,90.0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,118.34,-115.72,90.0,bottom
