Comment,Designator,Footprint,LCSC
Conn_01x05,J1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,C10402
1K,"R3,R5,R8",R_0402_1005Metric,C11702
Button_Pad,"SW12,SW5",SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,C127680
SCHOTTKY DIODE,D1,D_0603_1608Metric,C143772
100n,"C11,C12,C13,C14,C5,C6,C7,C9",C_0402_1005Metric,C1525
10u,"C1,C2",C_0402_1005Metric,C15525
27p,"C3,C4",C_0402_1005Metric,C1557
RP2040,U4,RP2040-QFN-56,C2040
LED,D2,LED_0603_1608Metric,C2290
USB_A,J2,USB2_A_HOR_C2345,C2345
27,"R6,R7",R_0402_1005Metric,C25100
10K,R4,R_0402_1005Metric,C25744
W25Q16,FLASH1,RPI_SPI_Flash_Universal_W25Q16,C2843335
TVS_RCLAMP0524P-N,"U1,U2,U5,U6,U7",UDFN-10_1.35x2.6mm_P0.5mm,C316044
SW_Push,"SW13,SW14",SW_SPST_SKQG_WithStem,C318884
1u,"C10,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
Crystal_GND24_Small,Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,C9002
