Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,125.24,-83.84,0.0,top
C2,10u,C_0402_1005Metric,132.94,-80.11,-90.0,top
C3,27p,C_0402_1005Metric,133.32,-93.51,0.0,top
C4,27p,C_0402_1005Metric,134.5,-88.9,0.0,top
C5,100n,C_0402_1005Metric,151.78,-107.42,-90.0,top
C6,100n,C_0402_1005Metric,137.6,-93.6,90.0,top
C7,100n,C_0402_1005Metric,142.315505,-104.957053,-90.0,top
C8,1u,C_0402_1005Metric,138.105505,-104.957053,-90.0,top
C9,100n,C_0402_1005Metric,135.425505,-101.337053,180.0,top
C10,1u,C_0402_1005Metric,137.125505,-104.927053,-90.0,top
C11,100n,C_0402_1005Metric,135.415505,-97.987053,180.0,top
C12,100n,C_0402_1005Metric,146.285505,-97.717053,0.0,top
C13,100n,C_0402_1005Metric,141.205505,-104.947053,-90.0,top
C14,100n,C_0402_1005Metric,139.6,-93.8,180.0,top
D1,SCHOTTKY DIODE,D_0603_1608Metric,124.73,-87.062438,-90.0,top
D2,LED,LED_0603_1608Metric,133.587288,-100.294553,90.0,top
FLASH1,W25Q16,RPI_SPI_Flash_Universal_W25Q16,148.2,-105.89,-90.0,top
J1,Conn_01x05,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,129.251,-91.8,90.0,bottom
J2,USB_A,USB2_A_HOR_C2345,161.06,-85.4,-90.0,top
R3,1K,R_0402_1005Metric,152.3,-103.02,0.0,top
R4,10K,R_0402_1005Metric,151.78,-104.88,90.0,top
R5,1K,R_0402_1005Metric,135.66,-93.51,180.0,top
R6,27,R_0402_1005Metric,140.095505,-104.956548,90.0,top
R7,27,R_0402_1005Metric,139.095505,-104.956548,90.0,top
R8,1K,R_0402_1005Metric,135.425505,-99.327053,0.0,top
SW0,Button_Pad,BTN_Controller_Saturn,118.0,-105.0,180.0,top
SW1,Button_Pad,BTN_Controller_Saturn,100.0,-105.0,180.0,top
SW2,Button_Pad,BTN_Controller_Saturn,109.0,-114.0,90.0,top
SW3,Button_Pad,BTN_Controller_Saturn,109.0,-96.0,90.0,top
SW5,Button_Pad,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,110.37,-77.740692,335.0,bottom
SW12,Button_Pad,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,182.68,-77.700127,25.0,bottom
SW13,SW_Push,SW_SPST_SKQG_WithStem,131.9,-116.75,180.0,top
SW14,SW_Push,SW_SPST_SKQG_WithStem,130.7,-108.41,0.0,top
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,148.785505,-97.557053,90.0,top
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,154.045,-100.87,90.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,127.92,-79.62,180.0,top
U4,RP2040,RP2040-QFN-56,140.890505,-98.721548,90.0,top
U5,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,135.140505,-95.637053,90.0,top
U6,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,137.61,-108.01,270.0,top
U7,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,148.785505,-94.357053,90.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,134.5,-91.2,0.0,top
