Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,180.05,-144.69,180.0,top
C2,10u,C_0402_1005Metric,182.09,-136.075,180.0,top
C3,27p,C_0402_1005Metric,155.98,-140.745,0.0,top
C4,27p,C_0402_1005Metric,156.37,-136.125,0.0,top
C5,100n,C_0402_1005Metric,174.672489,-139.48,180.0,top
C6,100n,C_0402_1005Metric,158.66,-142.745,180.0,top
C7,100n,C_0402_1005Metric,170.79,-139.95,0.0,top
C8,1u,C_0402_1005Metric,170.8,-143.915,0.0,top
C9,100n,C_0402_1005Metric,167.18,-146.595,-90.0,top
C10,1u,C_0402_1005Metric,170.77,-144.895,0.0,top
C11,100n,C_0402_1005Metric,163.83,-146.605,-90.0,top
C12,100n,C_0402_1005Metric,162.97,-135.98,90.0,top
C13,100n,C_0402_1005Metric,170.79,-140.93,0.0,top
C14,100n,C_0402_1005Metric,158.66,-141.755,180.0,top
C15,10u,C_0402_1005Metric,157.96,-132.255,90.0,top
D1,SCHOTTKY DIODE,D_0603_1608Metric,181.95,-151.49,180.0,top
D2,LED,LED_0603_1608Metric,166.1375,-148.34,180.0,top
FLASH1,W25Q16,RPI_SPI_Flash_Universal_W25Q16,173.23,-134.18,-90.0,top
J5,Conn_01x05,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,181.9,-146.55,180.0,bottom
R3,1K,R_0402_1005Metric,176.78,-129.13,90.0,top
R4,10K,R_0402_1005Metric,176.78,-131.07,90.0,top
R5,1K,R_0402_1005Metric,158.66,-140.745,180.0,top
R6,27,R_0402_1005Metric,170.799495,-141.925,180.0,top
R7,27,R_0402_1005Metric,170.799495,-142.925,180.0,top
R8,1K,R_0402_1005Metric,165.17,-146.595,90.0,top
R9,10K,R_0402_1005Metric,151.88,-133.635,0.0,top
R10,10K,R_0402_1005Metric,151.89,-132.64,0.0,top
SW6,SW_Push,SW_SPST_SKQG_WithStem,181.88,-117.66,-90.0,top
SW10,SW_Push,SW_SPST_SKQG_WithStem,147.575498,-117.66,-90.0,top
U1,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,178.945,-133.47,180.0,top
U2,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,131.475,-135.77,0.0,bottom
U3,AMS1117-3.3,SOT-223-3_TabPin2,182.88,-140.475,0.0,top
U4,RP2040,RP2040-QFN-56,164.564495,-141.13,-90.0,top
U5,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,206.09,-132.585,-90.0,top
U6,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,173.704495,-142.425,180.0,top
U7,TVS_RCLAMP0524P-N,UDFN-10_1.35x2.6mm_P0.5mm,161.48,-147.135,-90.0,top
U8,74AHC1G32,SOT-353_SC-70-5,154.53,-133.28,0.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,156.36,-138.475,0.0,top
